review_text,sentiment
"Great value for money, sturdy build and fast.",positive
"Average cheez hai, price ke hisaab se sahi.",neutral
"Recommend nahi karunga, bohat maslay aaye.",negative
"Okay product, acceptable for the price.",neutral
"Okay product, acceptable for the price.",neutral
"Great product, works perfectly!",positive
"Great product, works perfectly!",positive
"Decent performance, some minor flaws.",neutral
"Great product, works perfectly!",positive
"Quality kamzor, maslay aaye.",negative
"Great value for money, sturdy build and fast.",positive
"Decent, works fine but could be better.",neutral
"Recommend nahi karunga, bohat maslay aaye.",negative
"Great product, works perfectly!",positive
"Average cheez, zyada khaas nahi.",neutral
"Average quality, nothing special.",neutral
"Theek hai, price ke hisaab se sahi.",neutral
"Kaam chal raha hai, choti problems hain.",neutral
"Average quality, nothing special.",neutral
"Theek hai, price ke hisaab se sahi.",neutral
Excellent quality and performance. Highly recommended!,positive
"Theek thaak hai, thoda behtar ho sakta tha.",neutral
"Bad experience, would not buy again.",negative
"Decent performance, some minor flaws.",neutral
"Bohat achha, zabardast kaam karta hai!",positive
"Theek hai, price ke hisaab se sahi.",neutral
Excellent build and performance.,positive
"Poor quality, had several issues.",negative
"Theek hai, price ke hisaab se sahi.",negative
"Poor quality, had several issues.",negative
"Performance lajawab, recommend karta hoon.",positive
"Average cheez hai, price ke hisaab se sahi.",neutral
"Not recommended, had multiple issues.",positive
"Great product, works perfectly!",positive
Bad experience overall.,negative
"Average quality, nothing special.",neutral
"Highly satisfied, would recommend.",positive
"Highly satisfied, would recommend.",positive
"Decent performance, some minor flaws.",negative
"Okay product, acceptable for the price.",neutral
"Great value for money, sturdy build and fast.",positive
"Decent, works fine but could be better.",neutral
"Bad experience, would not buy again.",negative
"Average quality, nothing special.",negative
"Theek hai, price ke hisaab se sahi.",neutral
"Average cheez, zyada khaas nahi.",neutral
"Average quality, nothing special.",neutral
"Decent performance, some minor flaws.",neutral
Excellent build and performance.,positive
"Theek hai, price ke hisaab se sahi.",neutral
Excellent quality and performance. Highly recommended!,positive
"Theek thaak hai, thoda behtar ho sakta tha.",neutral
"Recommend nahi karunga, bohat maslay aaye.",negative
Excellent build and performance.,positive
"Kaam chal raha hai, choti problems hain.",negative
"Decent performance, some minor flaws.",neutral
"Highly satisfied, would recommend.",positive
"Average cheez, zyada khaas nahi.",neutral
"Theek hai, price ke hisaab se sahi.",neutral
"Theek hai, price ke hisaab se sahi.",neutral
Excellent quality and performance. Highly recommended!,positive
"Theek thaak hai, thoda behtar ho sakta tha.",neutral
"Recommend nahi karunga, bohat maslay aaye.",negative
Excellent build and performance.,positive
"Theek hai, price ke hisaab se sahi.",neutral
Excellent build and performance.,positive
"Bohat achha, zabardast kaam karta hai!",positive
"Okay product, acceptable for the price.",neutral
"Quality kamzor, maslay aaye.",negative
"Average quality, nothing special.",neutral
"Performance lajawab, recommend karta hoon.",positive
"Average performance, okay for the price.",neutral
"Poor quality, disappointed with the performance.",negative
"Okay product, acceptable for the price.",neutral
"Okay product, acceptable for the price.",negative
"Theek hai, price ke hisaab se sahi.",neutral
"Mazay ka product, recommend karta hoon.",positive
"Highly satisfied, would recommend.",positive
"Average cheez, zyada khaas nahi.",neutral
"Mazay ka product, recommend karta hoon.",positive
"Great value for money, sturdy build and fast.",positive
"Average cheez hai, price ke hisaab se sahi.",neutral
"Burra tajurba, dubara nahi loonga.",negative
"Quality lajawab, khush hoon.",positive
"Decent performance, some minor flaws.",neutral
"Disappointed, not as described.",negative
"Mayoos ho gaya, jaisa bataya waisa nahi.",negative
"Poor quality, had several issues.",negative
"Disappointed, not as described.",negative
"Decent performance, some minor flaws.",negative
"Quality zabardast, paisay wasool ho gaye.",positive
"Zyada khaas nahi, kuch choti problems hain.",neutral
"Poor quality, disappointed with the performance.",negative
"Average quality, nothing special.",neutral
Excellent build and performance.,positive
"Decent performance, some minor flaws.",neutral
"Decent performance, some minor flaws.",neutral
"Quality lajawab, khush hoon.",positive
"Burra tajurba, pasand nahi aaya.",negative
"Decent performance, some minor flaws.",neutral
"Performance lajawab, recommend karta hoon.",positive
"Theek thaak hai, thoda behtar ho sakta tha.",neutral
"Poor quality, disappointed with the performance.",negative
"Average cheez, zyada khaas nahi.",neutral
"Mazay ka product, recommend karta hoon.",positive
"Kaam chal raha hai, choti problems hain.",neutral
"Kaam chal raha hai, choti problems hain.",negative
Excellent build and performance.,positive
"Highly satisfied, would recommend.",positive
"Okay product, acceptable for the price.",neutral
"Top-notch product, exceeded my expectations.",positive
"Decent, works fine but could be better.",neutral
"Poor quality, disappointed with the performance.",negative
"Decent performance, some minor flaws.",negative
"Average cheez, zyada khaas nahi.",neutral
"Average quality, nothing special.",neutral
"Kaam chal raha hai, choti problems hain.",neutral
"Highly satisfied, would recommend.",positive
"Disappointed, not as described.",negative
"Decent performance, some minor flaws.",negative
Excellent quality and performance. Highly recommended!,positive
"Decent, works fine but could be better.",neutral
"Not recommended, had multiple issues.",positive
"Bohat achha, zabardast kaam karta hai!",positive
"Decent performance, some minor flaws.",neutral
Bad experience overall.,negative
"Quality lajawab, khush hoon.",positive
"Okay product, acceptable for the price.",neutral
"Theek hai, price ke hisaab se sahi.",neutral
"Bohat achha, zabardast kaam karta hai!",positive
Excellent quality and performance. Highly recommended!,positive
"Average performance, okay for the price.",neutral
"Burra tajurba, dubara nahi loonga.",negative
"Average quality, nothing special.",neutral
"Burra tajurba, pasand nahi aaya.",negative
"Quality kamzor, maslay aaye.",negative
"Kaam chal raha hai, choti problems hain.",neutral
"Great product, works perfectly!",positive
"Quality lajawab, khush hoon.",positive
"Great product, works perfectly!",positive
"Great value for money, sturdy build and fast.",positive
"Average performance, okay for the price.",neutral
"Bad experience, would not buy again.",negative
"Great product, works perfectly!",positive
"Highly satisfied, would recommend.",positive
"Great product, works perfectly!",positive
"Average quality, nothing special.",neutral
Excellent build and performance.,positive
"Okay product, acceptable for the price.",neutral
"Average cheez, zyada khaas nahi.",neutral
"Top-notch product, exceeded my expectations.",positive
"Average performance, okay for the price.",neutral
"Recommend nahi karunga, bohat maslay aaye.",negative
"Decent performance, some minor flaws.",neutral
"Highly satisfied, would recommend.",positive
"Quality kamzor, maslay aaye.",negative
Excellent build and performance.,positive
"Average quality, nothing special.",neutral
"Decent performance, some minor flaws.",neutral
"Kaam chal raha hai, choti problems hain.",neutral
"Great value for money, sturdy build and fast.",positive
"Not bad, some minor issues.",negative
"Not recommended, had multiple issues.",positive
"Poor quality, had several issues.",negative
"Great product, works perfectly!",positive
"Poor quality, had several issues.",negative
"Average cheez, zyada khaas nahi.",negative
"Average quality, nothing special.",neutral
"Great product, works perfectly!",positive
"Decent performance, some minor flaws.",neutral
Excellent quality and performance. Highly recommended!,positive
"Theek thaak hai, thoda behtar ho sakta tha.",neutral
"Burra tajurba, dubara nahi loonga.",negative
"Great product, works perfectly!",positive
"Okay product, acceptable for the price.",neutral
"Okay product, acceptable for the price.",neutral
Excellent build and performance.,positive
"Theek hai, price ke hisaab se sahi.",neutral
"Mazay ka product, recommend karta hoon.",positive
"Mayoos ho gaya, jaisa bataya waisa nahi.",negative
"Great value for money, sturdy build and fast.",positive
"Not bad, some minor issues.",negative
"Burra tajurba, dubara nahi loonga.",negative
"Highly satisfied, would recommend.",positive
"Kaam chal raha hai, choti problems hain.",neutral
"Bohat achha, zabardast kaam karta hai!",positive
"Mazay ka product, recommend karta hoon.",positive
"Average cheez, zyada khaas nahi.",neutral
"Decent performance, some minor flaws.",neutral
"Decent performance, some minor flaws.",neutral
"Performance lajawab, recommend karta hoon.",positive
"Average cheez hai, price ke hisaab se sahi.",neutral
"Recommend nahi karunga, bohat maslay aaye.",negative
"Highly satisfied, would recommend.",positive
"Quality kamzor, maslay aaye.",negative
"Kaam chal raha hai, choti problems hain.",negative
"Quality kamzor, maslay aaye.",negative
"Decent performance, some minor flaws.",neutral
Excellent build and performance.,positive
"Theek hai, price ke hisaab se sahi.",neutral
"Quality zabardast, paisay wasool ho gaye.",positive
"Average performance, okay for the price.",neutral
"Poor quality, disappointed with the performance.",negative
"Average quality, nothing special.",neutral
"Highly satisfied, would recommend.",positive
"Average cheez, zyada khaas nahi.",neutral
"Highly satisfied, would recommend.",positive
"Bohat achha, zabardast kaam karta hai!",positive
"Average quality, nothing special.",neutral
"Okay product, acceptable for the price.",negative
"Top-notch product, exceeded my expectations.",positive
"Average cheez hai, price ke hisaab se sahi.",neutral
"Recommend nahi karunga, bohat maslay aaye.",negative
"Highly satisfied, would recommend.",positive
"Decent performance, some minor flaws.",neutral
"Average quality, nothing special.",neutral
"Quality lajawab, khush hoon.",positive
"Disappointed, not as described.",negative
"Great product, works perfectly!",positive
"Decent performance, some minor flaws.",neutral
"Great value for money, sturdy build and fast.",positive
"Zyada khaas nahi, kuch choti problems hain.",neutral
"Poor quality, disappointed with the performance.",negative
"Quality lajawab, khush hoon.",positive
"Okay product, acceptable for the price.",neutral
Bad experience overall.,negative
"Average quality, nothing special.",neutral
"Disappointed, not as described.",negative
"Highly satisfied, would recommend.",positive
"Kaam chal raha hai, choti problems hain.",neutral
Excellent quality and performance. Highly recommended!,positive
"Average cheez hai, price ke hisaab se sahi.",neutral
"Recommend nahi karunga, bohat maslay aaye.",negative
"Great product, works perfectly!",positive
"Disappointed, not as described.",negative
"Highly satisfied, would recommend.",positive
"Okay product, acceptable for the price.",neutral
"Quality lajawab, khush hoon.",positive
"Okay product, acceptable for the price.",neutral
Excellent build and performance.,positive
"Top-notch product, exceeded my expectations.",positive
"Not bad, some minor issues.",negative
"Recommend nahi karunga, bohat maslay aaye.",negative
"Okay product, acceptable for the price.",negative
"Burra tajurba, pasand nahi aaya.",negative
"Great product, works perfectly!",positive
"Average cheez, zyada khaas nahi.",neutral
"Bohat achha, zabardast kaam karta hai!",positive
"Highly satisfied, would recommend.",positive
"Okay product, acceptable for the price.",neutral
"Top-notch product, exceeded my expectations.",positive
"Average cheez hai, price ke hisaab se sahi.",neutral
"Poor quality, disappointed with the performance.",negative
"Mazay ka product, recommend karta hoon.",positive
"Okay product, acceptable for the price.",neutral
"Decent performance, some minor flaws.",negative
"Okay product, acceptable for the price.",neutral
"Bohat achha, zabardast kaam karta hai!",positive
"Great product, works perfectly!",positive
"Kaam chal raha hai, choti problems hain.",neutral
"Quality zabardast, paisay wasool ho gaye.",positive
"Average performance, okay for the price.",neutral
"Bad experience, would not buy again.",negative
Excellent build and performance.,positive
"Mazay ka product, recommend karta hoon.",positive
"Great product, works perfectly!",positive
"Highly satisfied, would recommend.",positive
"Burra tajurba, pasand nahi aaya.",negative
"Okay product, acceptable for the price.",neutral
"Kaam chal raha hai, choti problems hain.",neutral
"Quality zabardast, paisay wasool ho gaye.",positive
"Not bad, some minor issues.",negative
"Not recommended, had multiple issues.",positive
"Average cheez, zyada khaas nahi.",neutral
Excellent build and performance.,positive
"Great product, works perfectly!",positive
